wage,educ,exper,tenure,female
2.9200000762939453,3,51,30,0
4.5,11,3,9,0
3.3499999046325684,15,3,1,1
5.949999809265137,11,15,9,0
8.0,12,17,6,0
3.0,4,36,0,0
5.0,9,31,9,0
5.5,12,9,4,0
2.650000095367432,12,42,10,1
3.0,11,3,0,1
4.5,12,37,14,1
17.5,16,23,22,0
8.180000305175781,13,21,5,0
9.09000015258789,15,11,12,0
11.81999969482422,16,35,13,0
3.25,12,42,0,1
4.5,12,3,0,0
4.5,12,13,0,0
3.7100000381469727,9,14,7,0
6.5,10,14,11,0
2.900000095367432,12,39,1,1
5.599999904632568,11,11,8,0
2.2300000190734863,8,28,3,0
5.0,6,18,0,1
8.329999923706055,16,6,2,0
2.900000095367432,12,26,1,1
6.25,12,21,6,0
4.550000190734863,16,34,2,0
3.2799999713897705,12,17,2,1
2.299999952316284,10,2,0,1
3.299999952316284,13,5,0,1
3.150000095367432,13,1,0,1
12.5,14,40,30,0
5.150000095367432,16,39,21,1
3.130000114440918,10,1,1,0
7.25,12,14,5,0
2.900000095367432,12,2,2,1
1.75,11,2,1,0
2.890000104904175,0,42,0,1
2.900000095367432,5,34,0,1
17.709999084472656,16,10,3,0
6.25,16,4,3,0
2.5999999046325684,9,4,0,0
6.630000114440918,15,21,3,1
3.5,12,31,3,1
6.5,12,20,14,0
3.0,12,36,1,1
4.380000114440918,13,7,0,0
10.0,12,15,0,0
4.949999809265137,7,25,17,0
9.0,17,7,0,1
1.4299999475479126,12,17,0,1
3.0799999237060547,12,3,1,0
9.329999923706056,14,12,11,0
7.5,12,18,5,0
4.75,13,47,1,0
5.650000095367432,12,2,0,0
15.0,16,14,2,1
2.2699999809265137,10,2,0,1
4.670000076293945,15,13,18,0
11.5600004196167,16,5,1,0
3.5,14,5,4,1
